id	x	y	z
35	485.1599547	506.9731714	12
35	481.7457466	490.4142622	12
35	459.4450655	495.0123408	12
36	459.4450655	495.0123408	12.5
36	480.6939388	490.6311298	12.5
36	478.809942	481.4937454	12.5
36	457.5610687	485.8749564	12.5
37	478.809942	481.4937454	12
37	477.5378679	475.324186	12
37	455.314895	479.9062423	12
37	456.5869691	486.0758017	12
38	455.314895	479.9062423	12
38	475.5182398	475.7406042	12
38	474.9205592	472.8418531	12
38	454.7172144	477.0074912	12
39	454.7172144	477.0074912	12.5
39	477.1073776	472.3909627	12.5
39	474.7618089	461.0149545	12.5
39	452.3716457	465.631483	12.5
40	452.3716457	465.631483	12.5
40	470.3009139	461.9347266	12.5
40	469.906695	460.022765	12.5
40	451.9774268	463.7195213	12.5
41	451.9774268	463.7195213	13
41	471.3745164	459.7201214	13
41	466.7316887	437.2024068	13
41	447.3345991	441.2018068	13
42	467.5597776	441.2186383	13
42	471.0330309	458.0639165	13
42	473.0817014	457.6415102	13
42	469.6084481	440.796232	13
43	447.3345991	441.2018068	13
43	465.4679494	437.4629717	13
43	463.0275146	425.6268629	13
43	444.8941643	429.365698	13
44	444.8941643	429.365698	13
44	463.0275146	425.6268629	13
44	462.5765163	423.4395212	13
44	444.443166	427.1783563	13
45	444.443166	427.1783563	13
45	460.4369246	423.8806741	13
45	460.1832381	422.6502944	13
45	444.1894794	425.9479766	13
46	460.1832381	422.6502944	17.25
46	458.6820234	415.3694032	17.25
46	443.5806007	418.4830986	17.25
46	445.0818154	425.7639898	17.25
47	446.3409422	417.913956	17.25
47	454.0077579	416.3331692	17.25
47	453.7009334	414.8450705	17.25
47	446.0341177	416.4258572	17.25
48	460.1832381	422.6502944	17.25
48	461.1421624	422.4525781	17.25
48	460.0509461	417.1601793	17.25
48	459.0920218	417.3578956	17.25
49	482.5934912	458.5410953	3
49	556.3594721	452.1910827	3
49	555.3285158	440.2148066	3
49	481.5625349	446.5648193	3
50	513.5227842	455.8786024	7
50	492.0766315	457.7247562	7
50	495.3993502	496.3236709	7
50	516.8455028	494.4775172	7
51	495.3993502	496.3236709	7
51	492.327747	460.6418803	7
51	489.6843387	460.8694333	7
51	492.755942	496.551224	7
52	516.8455028	494.4775172	7
52	519.456656	494.2527407	7
52	516.8835598	464.3619403	7
52	514.2724067	464.5867168	7
53	519.456656	494.2527407	7
53	521.0451426	494.1159987	7
53	519.7410655	478.9669695	7
53	518.1525789	479.1037116	7
54	521.0451426	494.1159987	7
54	493.9418432	496.4491376	7
54	494.3410147	501.0861805	7
54	521.4443142	498.7530415	7
55	494.3410147	501.0861805	7
55	494.516837	503.1286495	7
55	514.5552218	501.4036811	7
55	514.3793995	499.361212	7
56	494.516837	503.1286495	7
56	494.6485448	504.6586551	7
56	504.1835344	503.8378526	7
56	504.0518266	502.307847	7
57	494.6485448	504.6586551	7
57	494.0764833	498.0132071	7
57	487.8851685	498.5461754	7
57	488.4572299	505.1916233	7
58	519.5109222	455.3631243	7
58	520.4847632	466.6759106	7
58	531.3827555	465.7377764	7
58	530.4089145	454.4249901	7
59	531.3827555	465.7377764	7
59	522.572902	466.4961569	7
59	523.9744073	482.7769772	7
59	532.7842608	482.0185967	7
60	532.7842608	482.0185967	7
60	534.9598198	481.8313176	7
60	533.7110935	467.3252796	7
60	531.5355344	467.5125587	7
61	534.9598198	481.8313176	7
61	525.9413635	482.6076552	7
61	527.1494137	496.6411716	7
61	536.16787	495.8648339	7
62	536.16787	495.8648339	7
62	537.809261	495.7235377	7
62	536.8860998	484.9994816	7
62	535.2447088	485.1407778	7
63	508.4168762	533.3654117	8
63	547.4694543	524.0520597	8
63	542.2879416	502.3250349	8
63	503.2353635	511.6383869	8
64	609.1773582	528.5119203	24.2
64	614.068492	517.3078116	24.2
